layout_radars,sensor_label,x_m,y_m,z_m,yaw_deg,pitch_deg,roll_deg
4,R1,-33.825321,-52.015091,1.0,-139.403244,0.0,0.0
4,R2,-33.825321,-74.745476,1.0,130.596756,0.0,0.0
4,R3,3.355103,-52.015091,1.0,-129.464203,0.0,0.0
4,R4,3.355103,-74.745476,1.0,130.060593,0.0,0.0
8,R1,-33.825321,-52.015091,1.0,-139.403244,0.0,0.0
8,R2,-33.825321,-74.745476,1.0,130.596756,0.0,0.0
8,R3,3.355103,-52.015091,1.0,-129.464203,0.0,0.0
8,R4,3.355103,-74.745476,1.0,50.060589,0.0,0.0
8,R5,40.535526,-52.015091,1.0,-129.976807,0.0,0.0
8,R6,40.535526,-74.745476,1.0,130.545761,0.0,0.0
8,R7,77.71595,-52.015091,1.0,-32.394951,0.0,0.0
8,R8,77.71595,-74.745476,1.0,145.059509,0.0,0.0
12,R1,-33.825321,-52.015091,1.0,130.596756,0.0,0.0
12,R2,-33.825321,-74.745476,1.0,130.596756,0.0,0.0
12,R3,-15.235109,-52.015091,1.0,-129.403259,0.0,0.0
12,R4,-15.235109,-74.745476,1.0,50.596737,0.0,0.0
12,R5,3.355103,-52.015091,1.0,-129.464203,0.0,0.0
12,R6,3.355103,-74.745476,1.0,50.060589,0.0,0.0
12,R7,21.945314,-52.015091,1.0,-129.976685,0.0,0.0
12,R8,21.945314,-74.745476,1.0,130.54509,0.0,0.0
12,R9,40.535526,-52.015091,1.0,-129.976807,0.0,0.0
12,R10,40.535526,-74.745476,1.0,130.545761,0.0,0.0
12,R11,59.12574,-52.015091,1.0,-129.976868,0.0,0.0
12,R12,59.12574,-74.745476,1.0,130.546371,0.0,0.0
14,R1,-33.825321,-52.015091,1.0,-172.528137,0.0,0.0
14,R2,-33.825321,-74.745476,1.0,130.596756,0.0,0.0
14,R3,-15.235108,-52.015091,1.0,-129.403259,0.0,0.0
14,R4,-15.235108,-74.745476,1.0,130.596741,0.0,0.0
14,R5,3.355103,-52.015091,1.0,-129.464203,0.0,0.0
14,R6,3.355103,-74.745476,1.0,50.060585,0.0,0.0
14,R7,21.945316,-52.015091,1.0,-129.976715,0.0,0.0
14,R8,21.945316,-74.745476,1.0,130.545074,0.0,0.0
14,R9,40.535526,-52.015091,1.0,-129.976807,0.0,0.0
14,R10,40.535526,-74.745476,1.0,130.545761,0.0,0.0
14,R11,59.12574,-52.015091,1.0,-129.976868,0.0,0.0
14,R12,59.12574,-74.745476,1.0,130.546371,0.0,0.0
14,R13,77.71595,-52.015091,1.0,-112.394951,0.0,0.0
14,R14,77.71595,-74.745476,1.0,145.059509,0.0,0.0
